,test_day,model,hour,feature,importance,importance_type,importance_std
108,2020-10-03 09:00:00,Random Forest,9,Total Load FC [MWh],9.933024087924598e-05,tree_feature_importance,
109,2020-10-03 09:00:00,Random Forest,9,Wind Offshore Production FC [MWh],5.973920197570931e-05,tree_feature_importance,
110,2020-10-03 09:00:00,Random Forest,9,Wind Onshore Production FC [MWh],7.691200674775956e-05,tree_feature_importance,
111,2020-10-03 09:00:00,Random Forest,9,Photovoltaik Production FC [MWh],4.947635587735363e-05,tree_feature_importance,
112,2020-10-03 09:00:00,Random Forest,9,Other Production FC [MWh],7.509744816239609e-05,tree_feature_importance,
113,2020-10-03 09:00:00,Random Forest,9,Day Ahead Price [EUR/MWh],0.9995595217311284,tree_feature_importance,
114,2020-10-03 09:00:00,Random Forest,9,German_holiday,1.0999934805661226e-06,tree_feature_importance,
115,2020-10-03 09:00:00,Random Forest,9,Luxembourg_holiday,6.348968727017943e-07,tree_feature_importance,
116,2020-10-03 09:00:00,Random Forest,9,weekday,4.707200933986772e-05,tree_feature_importance,
117,2020-10-03 09:00:00,Random Forest,9,hour,0.0,tree_feature_importance,
118,2020-10-03 09:00:00,Random Forest,9,month,2.4296376363954216e-05,tree_feature_importance,
119,2020-10-03 09:00:00,Random Forest,9,year,6.8197391721047936e-06,tree_feature_importance,
120,2020-10-03 09:00:00,Neural Network,9,Total Load FC [MWh],0.10104768788576073,permutation_importance_train,0.004833564380190392
121,2020-10-03 09:00:00,Neural Network,9,Wind Offshore Production FC [MWh],0.02213709396016686,permutation_importance_train,0.0019140877910596606
122,2020-10-03 09:00:00,Neural Network,9,Wind Onshore Production FC [MWh],0.07135974883574751,permutation_importance_train,0.004521247121908458
123,2020-10-03 09:00:00,Neural Network,9,Photovoltaik Production FC [MWh],0.058584980537285114,permutation_importance_train,0.003528671218184181
124,2020-10-03 09:00:00,Neural Network,9,Other Production FC [MWh],0.06348287743961861,permutation_importance_train,0.004280574446206201
125,2020-10-03 09:00:00,Neural Network,9,Day Ahead Price [EUR/MWh],0.6644207569825917,permutation_importance_train,0.024342666931265772
126,2020-10-03 09:00:00,Neural Network,9,German_holiday,0.011503451528119258,permutation_importance_train,0.001619652245485765
127,2020-10-03 09:00:00,Neural Network,9,Luxembourg_holiday,0.012759318306801697,permutation_importance_train,0.002387261775458746
128,2020-10-03 09:00:00,Neural Network,9,weekday,0.02711205307088248,permutation_importance_train,0.0020963459469964508
129,2020-10-03 09:00:00,Neural Network,9,hour,0.0,permutation_importance_train,0.0
130,2020-10-03 09:00:00,Neural Network,9,month,0.10126905957359104,permutation_importance_train,0.00655922784764669
131,2020-10-03 09:00:00,Neural Network,9,year,0.04853862964193765,permutation_importance_train,0.0054340936033445
132,2020-10-03 09:00:00,Naive,9,Total Load FC [MWh],,not_applicable,
133,2020-10-03 09:00:00,Naive,9,Wind Offshore Production FC [MWh],,not_applicable,
134,2020-10-03 09:00:00,Naive,9,Wind Onshore Production FC [MWh],,not_applicable,
135,2020-10-03 09:00:00,Naive,9,Photovoltaik Production FC [MWh],,not_applicable,
136,2020-10-03 09:00:00,Naive,9,Other Production FC [MWh],,not_applicable,
137,2020-10-03 09:00:00,Naive,9,Day Ahead Price [EUR/MWh],,not_applicable,
